r.squared	adj.r.squared	sigma	statistic	p.value	df	logLik	AIC	BIC	deviance	df.residual	nobs	model	within.r.squared	pseudo.r.squared	population
0.012002535465827056	0.011840133822431986	1318219.054111114	73.90649019870123	1.6539049069236464e-47	3	-283146.3889894638	566302.7779789276	566341.838950398	31714789613318820	18251	18255	Linear model	NA	NA	all
0.001429918947674216	-0.270945353474352	NA	10.268632085357732	3.496066702359422e-5	NA	NA	NA	NA	3084089450192200	14342	18255	Linear model with fixed effect	NA	NA	all
0.00129451481974501	0.0011303530502231318	1459577108.938643	7.88560469052326	2.966756983659e-5	3	-291446.45176611	582902.90353222	582941.9645036905	38881297764449725e6	18251	18255	Linear model assets weighted	NA	NA	all
0.7991357693486403	0.7442578177924308	738539654.2254059	NA	NA	NA	-262084.08641615897	532004.1728323179	562612.3500765616	NA	NA	18255	Linear model assets weighted with fixed effect	1.357577498195539e-6	NA	all
0.012963542129075637	0.012584890558675288	1317722.202535951	34.2360712128219	9.307263601081488e-48	7	-283137.5065202449	566293.01304048975	566363.3227891366	31683941230366440	18247	18255	Event study	NA	NA	all
0.007922852182776743	-0.2633860929437417	NA	11.44731167710039	8.11616705190051e-20	NA	NA	NA	NA	3064035988476246	14334	18255	Event study with fixed effects	NA	NA	all
0.0027066958102168748	0.0023241094601686996	1458704672.565752	NA	NA	NA	-289404.6826316259	578825.3652632518	578887.8628176046	NA	NA	18255	Event study assets weighted	NA	NA	all
0.7991616285342816	0.7442372238917802	738569389.4571115	NA	NA	NA	-262089.10899828974	532020.2179965795	562651.8318237053	NA	NA	18255	Event study assets weighted with fixed effects	1.3009702728272732e-4	NA	all
0.03513329081834935	0.034557250991972266	1225379.3341586925	60.99107945246362	1.0044603026402927e-38	3	-77634.19022991859	155278.38045983718	155310.99534201802	7545311425730583	5025	5029	Linear model	NA	NA	treat_a
0.0032987119535243	-0.27193250667453817	NA	6.519970051589002	0.0014896643453715008	NA	NA	NA	NA	652411301938421.25	3940	5029	Linear model with fixed effect	NA	NA	treat_a
0.008657970069908715	0.00806612408189078	1403688982.409957	14.628755191706917	1.7476224531773732e-9	3	-80138.36446262588	160286.72892525175	160319.3438074326	9900972365678979e6	5025	5029	Linear model assets weighted	NA	NA	treat_a
0.84230740157236506	0.7985061283623511	632645540.2489246	NA	NA	NA	-71550.587983444	145289.175966888	152425.31218806014	NA	NA	5029	Linear model assets weighted with fixed effect	4.737552028610814e-5	NA	treat_a
0.03559634630028871	0.03425182816129291	1225573.1463916185	26.4751700017039	7.090430799189172e-36	7	-77632.98319014428	155283.96638028856	155342.6731682141	7541690306061538	5021	5029	Event study	NA	NA	treat_a
0.014651575623120148	-0.2600030207952573	NA	5.846662350583311	8.29531076046866e-9	NA	NA	NA	NA	644980051817403.25	3932	5029	Event study with fixed effects	NA	NA	treat_a
0.010324753860953328	0.008945003468009083	1403066992.008699	NA	NA	NA	-79427.38550148068	158870.77100296135	158922.95481445073	NA	NA	5029	Event study assets weighted	NA	NA	treat_a
0.8426920550891697	0.7988442657650928	632114479.5731446	NA	NA	NA	-71560.25173004014	145314.50346008028	152470.20861056092	NA	NA	5029	Event study assets weighted with fixed effects	0.00248652166588359	NA	treat_a
0.028548206739985815	0.027543256609027233	1303706.2338296638	28.40758547168236	4.235116253688153e-18	3	-45009.011982933705	90028.02396586741	90057.89318774713	4928984837966345	2900	2904	Linear model	NA	NA	treat_b
0.001889102715890244	-0.27812789361083823	NA	2.145350716326338	0.1172645195549471	NA	NA	NA	NA	430866276289766.44	2267	2904	Linear model with fixed effect	NA	NA	treat_b
0.0020475579175454253	0.0010151933222877219	1482635879.3431761	1.9833670458587243	0.11431548398484315	3	-46204.678023520464	92419.35604704093	92449.22526892065	6374806537075567e6	2900	2904	Linear model assets weighted	NA	NA	treat_b
0.8261512905834101	0.7769850625557398	700522422.0139792	NA	NA	NA	-41499.942663196394	84281.88532639279	88111.11957137333	NA	NA	2904	Linear model assets weighted with fixed effect	0.001817920698251374	NA	treat_b
0.029375378984831793	0.027029255936797947	1304050.7310841265	12.520817699416472	6.711042784770004e-16	7	-45007.77510660555	90033.5502132111	90087.3148125946	4924787903562066	2896	2904	Event study	NA	NA	treat_b
0.01212662653866931	-0.26949818643569845	NA	2.7730324641578346	0.0020835213942137915	NA	NA	NA	NA	426446923911235.3	2259	2904	Event study with fixed effects	NA	NA	treat_b
0.005469232228902943	0.00306532498636225	1481113754.1706777	NA	NA	NA	-45948.70811696827	91913.41623393654	91961.2069889441	NA	NA	2904	Event study assets weighted	NA	NA	treat_b
0.8266161114871801	0.7771875040492624	700204400.7086653	NA	NA	NA	-41510.24420865446	84310.48841730892	88163.61803979325	NA	NA	2904	Event study assets weighted with fixed effects	0.004486769364342447	NA	treat_b
0.05398984687470125	0.053458579473095735	1242557.8460100968	101.62461824602063	5.637690662680979e-64	3	-82602.3657868235	165214.731573647	165247.6520931305	8247780903639246	5342	5346	Linear model	NA	NA	treat_c
0.002260736578560291	-0.2697419911875225	NA	4.758304087078478	0.008626457082656332	NA	NA	NA	NA	710632285965946.1	4200	5346	Linear model with fixed effect	NA	NA	treat_c
0.01598703295125081	0.01543442364740455	1410470116.8544693	28.930082863210504	1.5060850471667345e-18	3	-85024.24258016034	170058.48516032068	170091.4056798042	106275134277818e8	5342	5346	Linear model assets weighted	NA	NA	treat_c
0.8365232646702426	0.791708426617985	648750067.3467822	NA	NA	NA	-76107.26549826257	154516.53099652514	162094.83458162553	NA	NA	5346	Linear model assets weighted with fixed effect	0.0010242934745189336	NA	treat_c
0.054935349972032956	0.05369603701770631	1242401.9768446982	44.32726195610518	2.5611599975120623e-61	7	-82599.69288357763	165217.38576715527	165276.64270222557	8239537543496923	5338	5346	Event study	NA	NA	treat_c
0.012154563949803503	-0.2595500609943464	NA	5.157885051461371	1.5288752613608123e-7	NA	NA	NA	NA	703585481836305.9	4192	5346	Event study with fixed effects	NA	NA	treat_c
0.017725031338343578	0.016436922537176213	1409751853.449257	NA	NA	NA	-84422.59027559684	168861.18055119368	168913.85338236726	NA	NA	5346	Event study assets weighted	NA	NA	treat_c
0.8372145508450148	0.7924407858460412	647608551.0125269	NA	NA	NA	-76123.27484732954	154554.54969465907	162152.60559144957	NA	NA	5346	Event study assets weighted with fixed effects	0.005248613794235579	NA	treat_c
0.016622487820562002	0.016263503574207805	1347993.5869535804	46.30422640932235	1.1492212384760271e-29	3	-127710.87101175709	255431.74202351418	255466.81486735147	14932818586625860	8218	8222	Linear model	NA	NA	cit_m22
0.0017115253966805172	-0.6328948566880004	NA	4.3084373217544165	0.013504285269460427	NA	NA	NA	NA	967472231128789.6	5026	8222	Linear model with fixed effect	NA	NA	cit_m22
0.004453801068698244	0.004090374614963199	1486411189.111641	12.255027180674942	5.363631190438562e-8	3	-130596.92092149789	261203.84184299578	261238.91468683307	18156998957569606e6	8218	8222	Linear model assets weighted	NA	NA	cit_m22
0.8613380617866115	0.7729655857294829	709700069.23894	NA	NA	NA	-116493.05227743523	239388.10455487046	261841.73917950294	NA	NA	8222	Linear model assets weighted with fixed effect	3.2055938237185444e-6	NA	cit_m22
0.015620914233459337	0.014782022877193657	1349008.2261301284	18.62090259577462	8.542132119265169e-25	7	-127715.05594944343	255448.11189888685	255511.24301779398	14948027716885728	8214	8222	Event study	NA	NA	cit_m22
0.007757690051297908	-0.6255926723970269	NA	3.92324418008592	2.4277026874122944e-5	NA	NA	NA	NA	961612705994532	5018	8222	Event study with fixed effects	NA	NA	cit_m22
0.005868085951835744	0.005020883200638093	1485716627.2952726	NA	NA	NA	-130233.65565539293	260483.31131078585	260539.42786092553	NA	NA	8222	Event study assets weighted	NA	NA	cit_m22
0.8616890756390623	0.7734049204521185	709013065.752272	NA	NA	NA	-116490.78285580067	239389.56571160135	261864.24404253621	NA	NA	8222	Event study assets weighted with fixed effects	0.002534633697061417	NA	cit_m22
