r.squared	adj.r.squared	sigma	statistic	p.value	df	logLik	AIC	BIC	deviance	df.residual	nobs	model	within.r.squared	pseudo.r.squared	population
0.3572832838118862	0.3571937148915274	0.33965706859237077	3988.9202904375475	0	3	-7299.586958624347	14609.173917248694	14649.060162429185	2483.5037782170016	21527	21531	Linear model	NA	NA	all
0.06532109566339753	-0.1422202753074724	NA	615.6269591933876	3.6765539109721994e-259	NA	NA	NA	NA	1275.4744023009362	17618	21531	Linear model with fixed effect	NA	NA	all
0.4603045704087157	0.46022935852184	351.6879836069305	6120.104009214094	0	3	-16344.48082359202	32698.96164718404	32738.847892364534	2662554892.8114004	21527	21531	Linear model assets weighted	NA	NA	all
0.722909088470344	0.6613053636179462	278.58457077586604	NA	NA	NA	92.65376212716001	7648.69247574568	38895.576950142255	NA	NA	21531	Linear model assets weighted with fixed effect	0.024882102576370246	NA	all
0.35841006813204734	0.358201401611438	0.33939073473063347	1717.6213370758503	0	7	-7280.696766426907	14579.393532853814	14651.188774178698	2479.1498022803657	21523	21531	Event study	NA	NA	all
0.14191794171662178	-0.049091806634930846	NA	291.2512771365192	0	NA	NA	NA	NA	1170.949398061932	17610	21531	Event study with fixed effects	NA	NA	all
0.45954892636378275	0.45937315358510633	351.96680358008877	NA	NA	NA	-7717.0009680249295	15450.001936049859	15513.819928338644	NA	NA	21531	Event study assets weighted	NA	NA	all
0.7279835959798884	0.6674325281911981	276.05319916864033	NA	NA	NA	363.87659316999634	7114.246813660007	38393.04028420097	NA	NA	21531	Event study assets weighted with fixed effects	0.04273993510451446	NA	all
0.5214705300843573	0.5212319016917797	0.3129306931645482	2185.282834333085	0	3	-1546.1325910348526	3102.265182069705	3135.7793947612195	589.1205222462587	6016	6020	Linear model	NA	NA	treat_a
0.0783816954629103	-0.12496868282472984	NA	209.68558156068733	3.987648560861829e-88	NA	NA	NA	NA	304.5796078625707	4931	6020	Linear model with fixed effect	NA	NA	treat_a
0.6136655711768445	0.6134729177050244	308.97463290868177	3185.3335700589982	0	3	-3752.030323917861	7514.060647835722	7547.5748605272365	574319387.8668247	6016	6020	Linear model assets weighted	NA	NA	treat_a
0.8023907272835221	0.7585934214571788	244.1784941474091	NA	NA	NA	391.4413458966992	1403.1173082066016	8729.324202571635	NA	NA	6020	Linear model assets weighted with fixed effect	0.05437300286654323	NA	treat_a
0.5250189632525699	0.5244659247866297	0.31187199698462376	949.3353457070648	0	7	-1523.7294123208474	3065.4588246416947	3125.7844074864206	584.7520247291012	6012	6020	Event study	NA	NA	treat_a
0.15323845466029015	-0.03527477989025263	NA	89.09154134886255	1.3053983050756668e-169	NA	NA	NA	NA	279.840686934072	4923	6020	Event study with fixed effects	NA	NA	treat_a
0.6150020245174928	0.6145537567483015	308.54234026365435	NA	NA	NA	-1686.0829974497537	3388.1659948995075	3441.7887352059306	NA	NA	6020	Event study assets weighted	NA	NA	treat_a
0.80698135318487	0.7640099055087817	241.42361452779542	NA	NA	NA	535.1905376986524	1123.6189246026952	8476.63718912094	NA	NA	6020	Event study assets weighted with fixed effects	0.07634069560879109	NA	treat_a
0.5527026999111356	0.5523242757993853	0.2823199395907106	1460.537747858466	0	3	-545.4948520255676	1100.9897040511353	1131.8632184634826	282.63232823812183	3546	3550	Linear model	NA	NA	treat_b
0.07221205859154248	-0.13035338278702913	NA	113.36304196724024	3.882093316427249e-48	NA	NA	NA	NA	148.09099648008274	2913	3550	Linear model with fixed effect	NA	NA	treat_b
0.5662209176781724	0.5658539302988814	322.8561126773861	1542.8893461466068	0	3	-2034.4314862151914	4078.862972430383	4109.73648684273	369621102.4227207	3546	3550	Linear model assets weighted	NA	NA	treat_b
0.7812287671216853	0.733097591789227	253.14381607598165	NA	NA	NA	561.4297913849059	159.14041723018818	4117.1249648931125	NA	NA	3550	Linear model assets weighted with fixed effect	0.05489197406691659	NA	treat_b
0.5551871744625483	0.5543080977322371	0.2816937113743393	631.5571272897042	0	7	-535.6082839816579	1089.2165679633158	1144.788893905541	281.06247117264314	3542	3550	Event study	NA	NA	treat_b
0.11926208052921893	-0.0759858437871952	NA	39.3370532002942	2.991885356836529e-73	NA	NA	NA	NA	140.5809995053623	2905	3550	Event study with fixed effects	NA	NA	treat_b
0.5686264106669502	0.5677738936919836	322.1414237634664	NA	NA	NA	-614.1309146273961	1244.2618292547922	1293.659452314548	NA	NA	3550	Event study assets weighted	NA	NA	treat_b
0.7851966101487826	0.7375775454106814	251.01031759194578	NA	NA	NA	636.2595709056177	17.480858188764614	4000.164217381567	NA	NA	3550	Event study assets weighted with fixed effects	0.07203335157443447	NA	treat_b
0.545213232296087	0.5449986089984448	0.3058214429473096	2540.326415098264	0	3	-1487.6480318452852	2985.2960636905705	3019.0857680739646	594.549581321243	6357	6361	Linear model	NA	NA	treat_c
0.07606682996702646	-0.1267909801360907	NA	214.67381578254714	2.557157440977819e-90	NA	NA	NA	NA	307.8489524278195	5215	6361	Linear model with fixed effect	NA	NA	treat_c
0.6395439088979963	0.6393738022009212	305.5598214030438	3759.66331658231	0	3	-3689.0566439696777	7388.113287939355	7421.902992322749	593532775.9259021	6357	6361	Linear model assets weighted	NA	NA	treat_c
0.8144785863731845	0.7735720225164946	242.12110912508777	NA	NA	NA	565.6732820261914	1168.6534359476173	8940.285444128242	NA	NA	6361	Linear model assets weighted with fixed effect	0.04460904613789396	NA	treat_c
0.5483140027696763	0.5478163163253803	0.30487303533779847	1101.7258136201199	0	7	-1465.8888806855193	2949.7777613710387	3010.5992292611477	590.4958974461522	6353	6361	Event study	NA	NA	treat_c
0.14940029235724547	-0.03895028627000552	NA	91.45633549064306	1.0581122919356285e-174	NA	NA	NA	NA	283.4146856356298	5207	6361	Event study with fixed effects	NA	NA	treat_c
0.6401749950844775	0.6397785249074888	305.38831179648673	NA	NA	NA	-1629.9905489563535	3275.981097912707	3330.044624926137	NA	NA	6361	Event study assets weighted	NA	NA	treat_c
0.8181777152096528	0.7779163181742639	239.78716630439015	NA	NA	NA	707.3615352891575	893.276929421685	8691.940701109024	NA	NA	6361	Event study assets weighted with fixed effects	0.06365867581914098	NA	treat_c
0.3619694886719812	0.36177076654428353	0.33720709514512726	1821.4855731750827	0	3	-3196.0002897999752	6402.0005795999505	6437.866886418624	1095.241476156182	9632	9636	Linear model	NA	NA	cit_m22
0.060482473046291285	-0.43983638813408366	NA	202.36626626592366	6.706723115491521e-86	NA	NA	NA	NA	441.9244139565405	6287	9636	Linear model with fixed effect	NA	NA	cit_m22
0.4360547065418949	0.43587905912906544	374.9532437989148	2482.556956105146	0	3	-6960.97160027377	13931.94320054754	13967.809507366213	1354162254.2602837	9632	9636	Linear model assets weighted	NA	NA	cit_m22
0.7547007746746782	0.6237729964964223	306.20761449269327	NA	NA	NA	1269.397321784285	4169.20535643143	28228.32397039782	NA	NA	9636	Linear model assets weighted with fixed effect	0.01900917190508078	NA	cit_m22
0.3631441796195934	0.36268115606925444	0.3369665081082851	784.2887890989664	0	7	-3187.1215961525477	6392.243192305095	6456.802544578708	1093.2250048046606	9628	9636	Event study	NA	NA	cit_m22
0.1352753677295558	-0.3269026647437059	NA	98.22711210893583	9.22528285491192e-190	NA	NA	NA	NA	406.74379709440166	6279	9636	Event study with fixed effects	NA	NA	cit_m22
0.436081038198601	0.43567104310796845	375.0223682431491	NA	NA	NA	-3363.860905329854	6743.721810659708	6801.107901569587	NA	NA	9636	Event study assets weighted	NA	NA	cit_m22
0.7592809795323774	0.6306214744058697	303.4078591252041	NA	NA	NA	1396.6957236187445	3920.608552762511	28001.246950820107	NA	NA	9636	Event study assets weighted with fixed effects	0.0373261435556832	NA	cit_m22
